2015-05-20 22:57:47 startup archives unpack
2015-05-20 22:57:48 upgrade libsqlite3-0:amd64 3.8.7.1-1 3.8.7.1-1+deb8u1
2015-05-20 22:57:48 status half-configured libsqlite3-0:amd64 3.8.7.1-1
2015-05-20 22:57:48 status unpacked libsqlite3-0:amd64 3.8.7.1-1
2015-05-20 22:57:48 status half-installed libsqlite3-0:amd64 3.8.7.1-1
2015-05-20 22:57:48 status half-installed libsqlite3-0:amd64 3.8.7.1-1
2015-05-20 22:57:48 status unpacked libsqlite3-0:amd64 3.8.7.1-1+deb8u1
2015-05-20 22:57:48 status unpacked libsqlite3-0:amd64 3.8.7.1-1+deb8u1
2015-05-20 22:57:48 upgrade libtasn1-6:amd64 4.2-3 4.2-3+deb8u1
2015-05-20 22:57:48 status half-configured libtasn1-6:amd64 4.2-3
2015-05-20 22:57:49 status unpacked libtasn1-6:amd64 4.2-3
2015-05-20 22:57:49 status half-installed libtasn1-6:amd64 4.2-3
2015-05-20 22:57:49 status half-installed libtasn1-6:amd64 4.2-3
2015-05-20 22:57:49 status unpacked libtasn1-6:amd64 4.2-3+deb8u1
2015-05-20 22:57:49 status unpacked libtasn1-6:amd64 4.2-3+deb8u1
2015-05-20 22:57:49 upgrade tzdata:all 2015c-1 2015d-0+deb8u1
2015-05-20 22:57:49 status half-configured tzdata:all 2015c-1
2015-05-20 22:57:49 status unpacked tzdata:all 2015c-1
2015-05-20 22:57:49 status half-installed tzdata:all 2015c-1
2015-05-20 22:57:50 status half-installed tzdata:all 2015c-1
2015-05-20 22:57:50 status unpacked tzdata:all 2015d-0+deb8u1
2015-05-20 22:57:51 status unpacked tzdata:all 2015d-0+deb8u1
2015-05-20 22:57:51 startup packages configure
2015-05-20 22:57:51 configure tzdata:all 2015d-0+deb8u1 <aucune>
2015-05-20 22:57:51 status unpacked tzdata:all 2015d-0+deb8u1
2015-05-20 22:57:51 status half-configured tzdata:all 2015d-0+deb8u1
2015-05-20 22:57:52 status installed tzdata:all 2015d-0+deb8u1
2015-05-20 22:57:52 configure libsqlite3-0:amd64 3.8.7.1-1+deb8u1 <aucune>
2015-05-20 22:57:52 status unpacked libsqlite3-0:amd64 3.8.7.1-1+deb8u1
2015-05-20 22:57:52 status half-configured libsqlite3-0:amd64 3.8.7.1-1+deb8u1
2015-05-20 22:57:52 status installed libsqlite3-0:amd64 3.8.7.1-1+deb8u1
2015-05-20 22:57:52 status triggers-pending libc-bin:amd64 2.19-18
2015-05-20 22:57:52 configure libtasn1-6:amd64 4.2-3+deb8u1 <aucune>
2015-05-20 22:57:52 status unpacked libtasn1-6:amd64 4.2-3+deb8u1
2015-05-20 22:57:52 status half-configured libtasn1-6:amd64 4.2-3+deb8u1
2015-05-20 22:57:52 status installed libtasn1-6:amd64 4.2-3+deb8u1
2015-05-20 22:57:52 trigproc libc-bin:amd64 2.19-18 <aucune>
2015-05-20 22:57:52 status half-configured libc-bin:amd64 2.19-18
2015-05-20 22:57:53 status installed libc-bin:amd64 2.19-18
2015-05-20 22:57:53 startup packages configure
2015-05-20 23:51:49 startup archives unpack
2015-05-20 23:51:49 install libsasl2-modules-db:amd64 <aucune> 2.1.26.dfsg1-13
2015-05-20 23:51:49 status half-installed libsasl2-modules-db:amd64 2.1.26.dfsg1-13
2015-05-20 23:51:49 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-13
2015-05-20 23:51:49 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-13
2015-05-20 23:51:49 install libsasl2-2:amd64 <aucune> 2.1.26.dfsg1-13
2015-05-20 23:51:49 status half-installed libsasl2-2:amd64 2.1.26.dfsg1-13
2015-05-20 23:51:49 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-13
2015-05-20 23:51:49 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-13
2015-05-20 23:51:50 install libldap-2.4-2:amd64 <aucune> 2.4.40+dfsg-1
2015-05-20 23:51:50 status half-installed libldap-2.4-2:amd64 2.4.40+dfsg-1
2015-05-20 23:51:50 status triggers-pending man-db:amd64 2.7.0.2-5
2015-05-20 23:51:50 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1
2015-05-20 23:51:50 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1
2015-05-20 23:51:50 install libapr1:amd64 <aucune> 1.5.1-3
2015-05-20 23:51:50 status half-installed libapr1:amd64 1.5.1-3
2015-05-20 23:51:51 status unpacked libapr1:amd64 1.5.1-3
2015-05-20 23:51:51 status unpacked libapr1:amd64 1.5.1-3
2015-05-20 23:51:51 install libaprutil1:amd64 <aucune> 1.5.4-1
2015-05-20 23:51:51 status half-installed libaprutil1:amd64 1.5.4-1
2015-05-20 23:51:51 status unpacked libaprutil1:amd64 1.5.4-1
2015-05-20 23:51:51 status unpacked libaprutil1:amd64 1.5.4-1
2015-05-20 23:51:51 install libaprutil1-dbd-sqlite3:amd64 <aucune> 1.5.4-1
2015-05-20 23:51:51 status half-installed libaprutil1-dbd-sqlite3:amd64 1.5.4-1
2015-05-20 23:51:51 status unpacked libaprutil1-dbd-sqlite3:amd64 1.5.4-1
2015-05-20 23:51:51 status unpacked libaprutil1-dbd-sqlite3:amd64 1.5.4-1
2015-05-20 23:51:51 install libaprutil1-ldap:amd64 <aucune> 1.5.4-1
2015-05-20 23:51:51 status half-installed libaprutil1-ldap:amd64 1.5.4-1
2015-05-20 23:51:52 status unpacked libaprutil1-ldap:amd64 1.5.4-1
2015-05-20 23:51:52 status unpacked libaprutil1-ldap:amd64 1.5.4-1
2015-05-20 23:51:52 install liblua5.1-0:amd64 <aucune> 5.1.5-7.1
2015-05-20 23:51:52 status half-installed liblua5.1-0:amd64 5.1.5-7.1
2015-05-20 23:51:52 status unpacked liblua5.1-0:amd64 5.1.5-7.1
2015-05-20 23:51:52 status unpacked liblua5.1-0:amd64 5.1.5-7.1
2015-05-20 23:51:52 install apache2-bin:amd64 <aucune> 2.4.10-10
2015-05-20 23:51:52 status half-installed apache2-bin:amd64 2.4.10-10
2015-05-20 23:51:53 status unpacked apache2-bin:amd64 2.4.10-10
2015-05-20 23:51:53 status unpacked apache2-bin:amd64 2.4.10-10
2015-05-20 23:51:53 install apache2-utils:amd64 <aucune> 2.4.10-10
2015-05-20 23:51:53 status half-installed apache2-utils:amd64 2.4.10-10
2015-05-20 23:51:53 status unpacked apache2-utils:amd64 2.4.10-10
2015-05-20 23:51:53 status unpacked apache2-utils:amd64 2.4.10-10
2015-05-20 23:51:53 install apache2-data:all <aucune> 2.4.10-10
2015-05-20 23:51:53 status half-installed apache2-data:all 2.4.10-10
2015-05-20 23:51:54 status unpacked apache2-data:all 2.4.10-10
2015-05-20 23:51:54 status unpacked apache2-data:all 2.4.10-10
2015-05-20 23:51:54 install apache2:amd64 <aucune> 2.4.10-10
2015-05-20 23:51:54 status half-installed apache2:amd64 2.4.10-10
2015-05-20 23:51:54 status triggers-pending systemd:amd64 215-17
2015-05-20 23:51:55 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:51:55 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:51:55 install libsasl2-modules:amd64 <aucune> 2.1.26.dfsg1-13
2015-05-20 23:51:55 status half-installed libsasl2-modules:amd64 2.1.26.dfsg1-13
2015-05-20 23:51:55 status unpacked libsasl2-modules:amd64 2.1.26.dfsg1-13
2015-05-20 23:51:55 status unpacked libsasl2-modules:amd64 2.1.26.dfsg1-13
2015-05-20 23:51:55 install ssl-cert:all <aucune> 1.0.35
2015-05-20 23:51:55 status half-installed ssl-cert:all 1.0.35
2015-05-20 23:51:55 status unpacked ssl-cert:all 1.0.35
2015-05-20 23:51:55 status unpacked ssl-cert:all 1.0.35
2015-05-20 23:51:55 trigproc man-db:amd64 2.7.0.2-5 <aucune>
2015-05-20 23:51:55 status half-configured man-db:amd64 2.7.0.2-5
2015-05-20 23:51:57 status installed man-db:amd64 2.7.0.2-5
2015-05-20 23:51:57 trigproc systemd:amd64 215-17 <aucune>
2015-05-20 23:51:57 status half-configured systemd:amd64 215-17
2015-05-20 23:51:57 status installed systemd:amd64 215-17
2015-05-20 23:51:58 startup packages configure
2015-05-20 23:51:58 configure libsasl2-modules-db:amd64 2.1.26.dfsg1-13 <aucune>
2015-05-20 23:51:58 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-13
2015-05-20 23:51:58 status half-configured libsasl2-modules-db:amd64 2.1.26.dfsg1-13
2015-05-20 23:51:58 status installed libsasl2-modules-db:amd64 2.1.26.dfsg1-13
2015-05-20 23:51:58 configure libsasl2-2:amd64 2.1.26.dfsg1-13 <aucune>
2015-05-20 23:51:58 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-13
2015-05-20 23:51:58 status half-configured libsasl2-2:amd64 2.1.26.dfsg1-13
2015-05-20 23:51:58 status installed libsasl2-2:amd64 2.1.26.dfsg1-13
2015-05-20 23:51:58 status triggers-pending libc-bin:amd64 2.19-18
2015-05-20 23:51:58 configure libldap-2.4-2:amd64 2.4.40+dfsg-1 <aucune>
2015-05-20 23:51:58 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1
2015-05-20 23:51:58 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1
2015-05-20 23:51:58 status half-configured libldap-2.4-2:amd64 2.4.40+dfsg-1
2015-05-20 23:51:58 status installed libldap-2.4-2:amd64 2.4.40+dfsg-1
2015-05-20 23:51:58 configure libapr1:amd64 1.5.1-3 <aucune>
2015-05-20 23:51:58 status unpacked libapr1:amd64 1.5.1-3
2015-05-20 23:51:58 status half-configured libapr1:amd64 1.5.1-3
2015-05-20 23:51:58 status installed libapr1:amd64 1.5.1-3
2015-05-20 23:51:59 configure libaprutil1:amd64 1.5.4-1 <aucune>
2015-05-20 23:51:59 status unpacked libaprutil1:amd64 1.5.4-1
2015-05-20 23:51:59 status half-configured libaprutil1:amd64 1.5.4-1
2015-05-20 23:51:59 status installed libaprutil1:amd64 1.5.4-1
2015-05-20 23:51:59 configure libaprutil1-dbd-sqlite3:amd64 1.5.4-1 <aucune>
2015-05-20 23:51:59 status unpacked libaprutil1-dbd-sqlite3:amd64 1.5.4-1
2015-05-20 23:51:59 status half-configured libaprutil1-dbd-sqlite3:amd64 1.5.4-1
2015-05-20 23:51:59 status installed libaprutil1-dbd-sqlite3:amd64 1.5.4-1
2015-05-20 23:51:59 configure libaprutil1-ldap:amd64 1.5.4-1 <aucune>
2015-05-20 23:51:59 status unpacked libaprutil1-ldap:amd64 1.5.4-1
2015-05-20 23:51:59 status half-configured libaprutil1-ldap:amd64 1.5.4-1
2015-05-20 23:51:59 status installed libaprutil1-ldap:amd64 1.5.4-1
2015-05-20 23:51:59 configure liblua5.1-0:amd64 5.1.5-7.1 <aucune>
2015-05-20 23:51:59 status unpacked liblua5.1-0:amd64 5.1.5-7.1
2015-05-20 23:51:59 status half-configured liblua5.1-0:amd64 5.1.5-7.1
2015-05-20 23:51:59 status installed liblua5.1-0:amd64 5.1.5-7.1
2015-05-20 23:51:59 configure apache2-bin:amd64 2.4.10-10 <aucune>
2015-05-20 23:51:59 status unpacked apache2-bin:amd64 2.4.10-10
2015-05-20 23:51:59 status half-configured apache2-bin:amd64 2.4.10-10
2015-05-20 23:51:59 status installed apache2-bin:amd64 2.4.10-10
2015-05-20 23:51:59 configure apache2-utils:amd64 2.4.10-10 <aucune>
2015-05-20 23:51:59 status unpacked apache2-utils:amd64 2.4.10-10
2015-05-20 23:51:59 status half-configured apache2-utils:amd64 2.4.10-10
2015-05-20 23:51:59 status installed apache2-utils:amd64 2.4.10-10
2015-05-20 23:51:59 configure apache2-data:all 2.4.10-10 <aucune>
